Polish,English
nie,no
to,this
się,myself
w,in
na,on
i,and
że,that
z,With
co,What
jest,is
do,down
o,about
jak,how
ale,but
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,these
po,after
czy,if
tu,here
może,maybe
ma,has
mam,I have
jesteś,you are
już,already
jeśli,if
wiem,I know
dla,for
coś,something
dobre,good
od,from
teraz,now
pan,Mr
być,to be
będzie,will be
masz,you have
nic,Thread
tam,over there
mogę,I can
są,are
gdzie,where
ten,this
on,he
ciebie,you
być,to be
ze,with
był,was
wiesz,you know
barzo,barely
było,was
przez,by
jego,his
ją,I
chcę,want
dlaczego,why
jeszcze,still
mój,my
nas,us
żeby,in order to
no,yeah
bo,because
chcesz,you want
ich,their
też,also
tutaj,here
naprawdę,really
nigdy,never
mamy,we have
kto,who
możesz,you can
dobra,Okay
przepraszam,sorry
mu,him
muszę,I have to
porządku,order
dziękuję,thank you
nawet,even
domu,house
ona,she
prawda,true
